curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7257109004739336,['H2FV3', 'H2DS13', 'H2FS8', 'H2PF14', 'H1PF14', 'H2TO1', 'H2ED16', 'H2PF1', 'H2DS6', 'H1RM14', 'H1DS5', 'H1FS11', 'H1WP10', 'H1ED19', 'H2PF21', 'H1WP5', 'H2FS2', 'PA56', 'H1PF14', 'H2WP5', 'H1ED24', 'H2DS1', 'H1FS16', 'H1ED15', 'H1PF24', 'H1DS11', 'H1PF1', 'H1WP7', 'H1FS3', 'H2ED12', 'H2PF16', 'H1TO9', 'S62M', 'H2TO11', 'H2WP14', 'H2DS5', 'S62P', 'H1TO3', 'H1FS8', 'H1GH19', 'H2PF17', 'H2ED15', 'H1IR12', 'H1DS13', 'PA21', 'H1DS10', 'H2FS19', 'H2PF5', 'H2WP3', 'H1FS1', 'H1GH52', 'H1PF16', 'H2WP7', 'H2PF29', 'H1TO12', 'H2PR5', 'H1FS7', 'H2FS5', 'H2GH25', 'H1FS12', 'H2WP10', 'H2FS12', 'H2FV5', 'H1TS3', 'H2PF9', 'H2EE12', 'H2TO26', 'H1PF31', 'H1FS15', 'H2PF23'],87,26,50
150,0.7316350710900474,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'S62R', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
151,0.7316350710900474,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'S62R', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
152,0.7316350710900474,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'S62R', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
153,0.7316350710900474,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'S62R', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
154,0.7316350710900474,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'S62R', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
155,0.7316350710900474,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'S62R', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
156,0.7316350710900474,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'S62R', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
157,0.7316350710900474,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'S62R', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
158,0.7316350710900474,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'S62R', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
159,0.7316350710900474,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'S62R', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
160,0.7316350710900474,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'S62R', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
161,0.7316350710900474,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'S62R', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
162,0.7316350710900474,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'S62R', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
163,0.7316350710900474,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'S62R', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
164,0.7316350710900474,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'S62R', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
165,0.7316350710900474,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'S62R', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
166,0.7316350710900474,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'S62R', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
167,0.7316350710900474,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'S62R', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
168,0.7316350710900474,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'S62R', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
169,0.7316350710900474,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'S62R', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
170,0.7316350710900474,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'S62R', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
171,0.7316350710900474,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'S62R', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
172,0.7316350710900474,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'S62R', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
